index year month day hour minute seconad azi_deg azi_min azi_sec pol_deg pol_min pol_sec size_deg size_min size_sec phase
0 0 1 1 16 23 24.52 86 12 48.86 9 51 2.23 0 29 34.17 0.997
1 0 1 2 0 43 24.52 -148 7 40.60 -46 10 42.71 0 29 10.82 0.991
2 0 1 2 9 3 24.52 -50 46 3.66 39 1 44.50 0 29 50.33 0.983
3 0 1 2 17 23 24.52 85 10 34.89 3 9 25.88 0 29 36.27 0.977
4 0 1 3 1 43 24.52 -138 41 14.82 -48 20 44.78 0 29 16.83 0.963
5 0 1 3 10 3 24.52 -42 23 49.42 37 38 0.44 0 29 58.31 0.949
6 0 1 3 18 23 24.52 84 3 20.31 -3 22 34.33 0 29 42.88 0.938
7 0 1 4 2 43 24.52 -128 59 19.15 -49 48 12.28 0 29 27.38 0.917
8 0 1 4 11 3 24.52 -34 52 38.28 35 36 22.01 0 30 10.39 0.897
9 0 1 4 19 23 24.52 82 46 39.49 -9 25 36.71 0 29 53.88 0.882
10 0 1 5 3 43 24.52 -119 44 52.31 -50 38 22.02 0 29 42.09 0.853
11 0 1 5 12 3 24.52 -28 36 22.01 33 10 0.54 0 30 26.24 0.828
12 0 1 5 20 23 24.52 81 20 19.35 -14 40 56.80 0 30 8.94 0.809
13 0 1 6 4 43 24.52 -111 38 37.84 -51 2 23.32 0 30 0.39 0.773
14 0 1 6 13 3 24.52 -23 47 47.23 30 39 28.43 0 30 45.38 0.744
15 0 1 6 21 23 24.52 79 51 14.76 -18 52 16.57 0 30 27.55 0.721
16 0 1 7 5 43 24.52 -105 13 42.54 -51 11 41.28 0 30 21.49 0.680
17 0 1 7 14 3 24.52 -20 28 34.34 28 29 29.71 0 31 7.15 0.647
18 0 1 7 22 23 24.52 78 35 13.30 -21 48 28.98 0 30 48.89 0.621
19 0 1 8 6 43 24.52 -100 54 29.78 -51 12 4.49 0 30 44.43 0.575
20 0 1 8 15 3 24.52 -18 30 53.25 27 5 26.15 0 31 30.72 0.541
21 0 1 8 23 23 24.52 77 55 22.31 -23 26 25.70 0 31 11.85 0.512
22 0 1 9 7 43 24.52 -98 55 48.81 -50 59 38.33 0 31 8.01 0.464
23 0 1 9 16 3 24.52 -17 39 20.99 26 49 34.16 0 31 54.96 0.429
24 0 1 10 0 23 24.52 78 16 21.03 -23 52 5.70 0 31 35.03 0.400
25 0 1 10 8 43 24.52 -99 18 24.59 -50 19 57.13 0 31 30.89 0.352
26 0 1 10 17 3 24.52 -17 33 22.47 27 57 26.09 0 32 18.50 0.318
27 0 1 11 1 23 24.52 79 56 34.08 -23 18 48.15 0 31 56.79 0.290
28 0 1 11 9 43 24.52 -101 42 7.94 -48 52 3.73 0 31 51.64 0.245
29 0 1 11 18 3 24.52 -17 50 21.11 30 34 56.04 0 32 39.75 0.206
30 0 1 12 2 23 24.52 83 2 33.50 -22 3 1.33 0 32 15.39 0.169
31 0 1 12 10 43 24.52 -105 25 20.72 -46 17 19.52 0 32 8.82 0.119
32 0 1 12 19 3 24.52 -18 9 22.59 34 37 6.13 0 32 57.00 0.090
33 0 1 13 3 23 24.52 87 27 40.21 -20 19 52.50 0 32 29.19 0.067
34 0 1 13 11 43 24.52 -109 38 9.79 -42 29 6.81 0 32 21.16 0.041
35 0 1 17 15 43 24.52 -122 58 53.51 -20 50 6.93 0 32 9.30 0.019
36 0 1 18 0 3 24.52 -14 33 54.84 64 5 50.18 0 32 45.70 0.031
37 0 1 18 8 23 24.52 116 8 46.53 -9 31 33.54 0 32 2.86 0.044
38 0 1 18 16 43 24.52 -125 7 43.83 -16 3 1.23 0 31 52.28 0.071
39 0 1 19 1 3 24.52 -12 49 26.80 68 55 4.55 0 32 25.19 0.095
40 0 1 19 9 23 24.52 120 19 1.71 -7 42 1.26 0 31 42.04 0.121
41 0 1 19 17 43 24.52 -126 44 26.35 -12 14 0.95 0 31 31.78 0.169
42 0 1 20 2 3 24.52 -10 40 56.25 72 34 10.35 0 32 1.76 0.208
43 0 1 20 10 23 24.52 123 23 33.90 -6 26 51.24 0 31 19.03 0.242
44 0 1 20 18 43 24.52 -127 39 10.86 -9 30 12.40 0 31 9.36 0.285
45 0 1 21 3 3 24.52 -7 41 35.04 74 52 26.97 0 31 37.20 0.314
46 0 1 21 11 23 24.52 125 24 41.93 -6 2 3.89 0 30 55.29 0.343
47 0 1 21 19 43 24.52 -127 39 23.82 -7 48 41.98 0 30 46.56 0.389
48 0 1 22 4 3 24.52 -3 15 36.91 75 44 55.19 0 31 13.11 0.419
49 0 1 22 12 23 24.52 126 32 52.42 -6 41 19.65 0 30 32.11 0.448
50 0 1 22 20 43 24.52 -126 33 37.75 -6 58 8.04 0 30 24.81 0.495
51 0 1 23 5 3 24.52 2 43 29.16 75 10 43.81 0 30 50.81 0.524
52 0 1 23 13 23 24.52 127 3 53.36 -8 33 12.03 0 30 10.59 0.553
53 0 1 23 21 43 24.52 -124 14 57.87 -6 41 50.80 0 30 5.33 0.598
54 0 1 24 6 3 24.52 9 32 40.89 73 12 13.39 0 30 31.27 0.625
55 0 1 24 14 23 24.52 127 15 8.76 -11 39 32.87 0 29 51.63 0.654
56 0 1 24 22 43 24.52 -120 42 57.47 -6 41 49.64 0 29 49.07 0.695
57 0 1 25 7 3 24.52 16 14 6.17 69 55 32.93 0 30 15.20 0.720
58 0 1 25 15 23 24.52 127 22 3.07 -15 55 33.09 0 29 35.95 0.746
59 0 1 25 23 43 24.52 -116 3 46.24 -6 42 27.51 0 29 36.74 0.783
60 0 1 26 8 3 24.52 22 12 13.17 65 30 49.95 0 30 3.04 0.804
61 0 1 26 16 23 24.52 127 35 39.52 -21 10 59.57 0 29 24.12 0.827
62 0 1 27 0 43 24.52 -110 28 56.76 -6 33 16.83 0 29 28.81 0.858
63 0 1 27 9 3 24.52 27 15 39.78 60 11 9.46 0 29 55.08 0.875
64 0 1 27 17 23 24.52 128 1 50.36 -27 12 2.92 0 29 16.55 0.895
