index year month day hour minute second azi_deg azi_min azi_sec pol_deg pol_min pol_sec size_deg size_min size_sec
0 0 1 2 5 43 2.08 95 57 16.18 -17 29 28.16 0 36 5.23
2 0 1 2 22 23 2.08 -2 36 40.99 46 14 16.42 0 35 56.41
3 0 1 3 6 43 2.08 106 54 52.04 -29 57 27.92 0 35 50.47
4 0 1 3 15 3 2.08 -98 18 41.35 -20 22 54.47 0 35 43.82
5 0 1 3 23 23 2.08 19 55 37.54 44 19 24.56 0 35 36.47
6 0 1 4 7 43 2.08 120 23 56.05 -41 31 9.38 0 35 28.13
7 0 1 4 16 3 2.08 -88 23 17.16 -7 46 57.02 0 35 19.29
8 0 1 5 0 23 2.08 39 19 17.20 38 7 58.18 0 35 9.84
9 0 1 5 8 43 2.08 138 34 14.31 -51 9 28.03 0 34 59.61
10 0 1 5 17 3 2.08 -78 49 30.83 4 41 0.71 0 34 49.10
11 0 1 6 1 23 2.08 54 43 19.29 29 6 37.36 0 34 38.10
12 0 1 6 9 43 2.08 163 22 16.11 -57 6 3.42 0 34 26.55
13 0 1 6 18 3 2.08 -68 43 50.13 16 39 16.84 0 34 14.93
14 0 1 11 6 23 2.08 107 19 4.74 -27 19 48.01 0 31 38.90
15 0 1 11 14 43 2.08 -101 34 21.27 -20 45 3.62 0 31 28.22
16 0 1 11 23 3 2.08 17 8 35.82 47 15 6.99 0 31 17.98
17 0 1 12 7 23 2.08 119 46 51.92 -37 35 21.23 0 31 7.92
18 0 1 12 15 43 2.08 -92 42 1.64 -8 53 40.19 0 30 58.41
19 0 1 13 0 3 2.08 36 42 42.08 42 34 8.59 0 30 49.35
20 0 1 13 8 23 2.08 135 34 37.38 -46 13 34.98 0 30 40.55
21 0 1 13 16 43 2.08 -84 20 15.31 2 58 40.30 0 30 32.37
22 0 1 14 1 3 2.08 52 38 18.31 35 3 12.89 0 30 24.63
23 0 1 14 9 23 2.08 155 51 52.13 -52 4 58.07 0 30 17.24
24 0 1 14 17 43 2.08 -75 45 19.61 14 38 22.85 0 30 10.51
25 0 1 15 2 3 2.08 65 27 44.69 25 49 10.84 0 30 4.21
26 0 1 15 10 23 2.08 179 37 45.98 -53 47 22.57 0 29 58.32
27 0 1 15 18 43 2.08 -66 12 17.90 25 50 31.91 0 29 53.12
28 0 1 16 3 3 2.08 76 14 11.71 15 38 18.28 0 29 48.34
29 0 1 16 11 23 2.08 -157 23 39.37 -50 49 34.29 0 29 44.02
30 0 1 16 19 43 2.08 -54 44 5.54 36 13 17.93 0 29 40.40
31 0 1 17 4 3 2.08 85 54 12.79 5 0 16.03 0 29 37.18
32 0 1 17 12 23 2.08 -138 42 45.04 -44 7 10.02 0 29 34.47
33 0 1 17 20 43 2.08 -40 4 10.42 45 9 47.20 0 29 32.46
34 0 1 18 5 3 2.08 95 14 21.50 -5 44 2.26 0 29 30.83
35 0 1 18 13 23 2.08 -124 26 50.31 -35 3 21.29 0 29 29.77
36 0 1 18 21 43 2.08 -20 55 21.88 51 37 59.98 0 29 29.38
37 0 1 19 6 3 2.08 104 57 16.02 -16 16 15.89 0 29 29.36
38 0 1 19 14 23 2.08 -113 16 47.07 -24 38 41.77 0 29 29.95
39 0 1 19 22 43 2.08 2 20 58.84 54 16 5.56 0 29 31.18
40 0 1 20 7 3 2.08 115 48 46.42 -26 15 16.53 0 29 32.77
41 0 1 20 15 23 2.08 -103 58 11.97 -13 28 44.50 0 29 35.01
42 0 1 20 23 43 2.08 25 59 25.66 52 16 23.49 0 29 37.84
43 0 1 21 8 3 2.08 128 42 48.52 -35 11 11.40 0 29 41.03
44 0 1 21 16 23 2.08 -95 36 20.17 -1 54 22.13 0 29 44.89
45 0 1 22 0 43 2.08 45 54 46.21 46 18 17.80 0 29 49.29
46 0 1 22 9 3 2.08 144 35 23.37 -42 18 39.73 0 29 54.06
47 0 1 22 17 23 2.08 -87 28 20.36 9 50 20.84 0 29 59.51
48 0 1 23 1 43 2.08 61 22 43.61 37 44 43.43 0 30 5.43
49 0 1 23 10 3 2.08 163 46 21.16 -46 35 20.73 0 30 11.73
50 0 1 23 18 23 2.08 -78 52 47.59 21 32 56.98 0 30 18.69
51 0 1 24 2 43 2.08 73 36 46.31 27 42 30.79 0 30 26.07
52 0 1 24 11 3 2.08 -175 9 59.61 -47 2 26.67 0 30 33.82
53 0 1 24 19 23 2.08 -68 57 44.44 32 57 47.82 0 30 42.21
54 0 1 25 3 43 2.08 83 57 31.57 16 52 57.03 0 30 50.93
55 0 1 25 12 3 2.08 -155 11 35.13 -43 27 15.38 0 31 0.03
56 0 1 25 20 23 2.08 -56 23 51.11 43 38 39.56 0 31 9.71
57 0 1 26 4 43 2.08 93 27 1.45 5 41 51.83 0 31 19.63
58 0 1 26 13 3 2.08 -138 22 3.18 -36 33 23.20 0 31 29.91
59 0 1 26 21 23 2.08 -39 5 48.26 52 44 3.01 0 31 40.70
60 0 1 27 5 43 2.08 102 54 41.05 -5 31 8.38 0 31 51.62
61 0 1 27 14 3 2.08 -124 47 4.48 -27 22 15.64 0 32 2.88
62 0 1 27 22 23 2.08 -14 52 44.97 58 35 4.33 0 32 14.52
63 0 1 28 6 43 2.08 113 7 15.91 -16 25 57.55 0 32 26.18
64 0 1 28 15 3 2.08 -113 35 22.57 -16 42 51.56 0 32 38.12
65 0 1 28 23 23 2.08 14 8 33.69 59 4 56.68 0 32 50.30
66 0 1 29 7 43 2.08 124 57 11.35 -26 35 38.80 0 33 2.37
67 0 1 29 16 3 2.08 -103 50 7.39 -5 7 50.01 0 33 14.64
68 0 1 30 0 23 2.08 39 57 54.37 53 51 28.51 0 33 26.95
