index year month day hour minute second azi_deg azi_min azi_sec pol_deg pol_min pol_sec size_deg size_min size_sec
0 0 1 1 16 39 21.01 -85 52 46.33 -3 37 54.43 0 29 31.80
1 0 1 2 0 59 21.01 44 22 46.39 36 31 28.50 0 29 33.20
2 0 1 2 9 19 21.01 144 35 32.66 -52 8 4.73 0 29 35.00
3 0 1 2 17 39 21.01 -77 44 32.30 7 57 7.30 0 29 37.50
4 0 1 3 1 59 21.01 58 7 54.12 28 22 0.32 0 29 40.50
5 0 1 3 10 19 21.01 167 59 6.52 -55 57 26.07 0 29 43.91
6 0 1 3 18 39 21.01 -68 50 40.30 19 13 39.31 0 29 48.02
7 0 1 4 2 59 21.01 69 37 32.86 18 47 14.04 0 29 52.58
8 0 1 4 11 19 21.01 -166 45 45.06 -55 3 58.44 0 29 57.58
9 0 1 4 19 39 21.01 -58 22 29.54 29 52 51.93 0 30 3.27
10 0 1 5 3 59 21.01 79 42 14.00 8 21 12.45 0 30 9.35
11 0 1 5 12 19 21.01 -144 52 32.96 -49 40 55.33 0 30 15.88
12 0 1 5 20 39 21.01 -45 14 46.45 39 23 24.43 0 30 23.08
13 0 1 6 4 59 21.01 89 8 36.26 -2 32 21.92 0 30 30.60
14 0 1 6 13 19 21.01 -128 7 36.62 -41 12 42.54 0 30 38.59
15 0 1 6 21 39 21.01 -28 11 40.12 46 51 42.62 0 30 47.19
16 0 1 7 5 59 21.01 98 40 29.97 -13 34 24.94 0 30 56.06
17 0 1 7 14 19 21.01 -115 19 33.62 -30 56 11.65 0 31 5.40
18 0 1 7 22 39 21.01 -6 47 31.91 50 58 31.12 0 31 15.26
19 0 1 8 6 59 21.01 109 5 58.12 -24 25 0.19 0 31 25.32
20 0 1 8 15 19 21.01 -104 55 2.66 -19 38 19.80 0 31 35.84
21 0 1 8 23 39 21.01 16 35 20.60 50 32 33.19 0 31 46.79
22 0 1 9 7 59 21.01 121 26 35.36 -34 36 39.51 0 31 57.84
23 0 1 9 16 19 21.01 -95 43 46.00 -7 46 20.69 0 32 9.32
24 0 1 10 0 39 21.01 37 42 25.28 45 35 54.96 0 32 21.08
25 0 1 10 8 59 21.01 137 3 28.71 -43 24 27.82 0 32 32.86
26 0 1 10 17 19 21.01 -86 52 56.25 4 21 30.46 0 32 45.00
27 0 1 11 1 39 21.01 54 34 57.08 37 19 58.56 0 32 57.26
28 0 1 11 9 59 21.01 157 12 15.79 -49 34 30.77 0 33 9.43
29 0 1 11 18 19 21.01 -77 34 28.38 16 28 45.94 0 33 21.86
30 0 1 12 2 39 21.01 67 52 20.60 27 0 36.15 0 33 34.20
31 0 1 12 10 59 21.01 -178 48 7.83 -51 32 50.74 0 33 46.35
32 0 1 12 19 19 21.01 -66 51 44.20 28 14 26.95 0 33 58.61
33 0 1 13 3 39 21.01 78 54 30.55 15 29 48.44 0 34 10.56
34 0 1 13 11 59 21.01 -155 3 28.89 -48 30 31.85 0 34 22.19
35 0 1 13 20 19 21.01 -53 24 53.48 39 4 10.96 0 34 33.76
36 0 1 14 4 39 21.01 88 50 53.22 3 20 52.78 0 34 44.78
37 0 1 14 12 59 21.01 -135 22 32.64 -41 15 13.52 0 34 55.36
38 0 1 14 21 19 21.01 -35 25 1.10 47 55 19.34 0 35 5.66
39 0 1 15 5 39 21.01 98 39 15.92 -9 1 24.25 0 35 15.18
40 0 1 15 13 59 21.01 -120 5 58.31 -31 15 45.65 0 35 24.15
41 0 1 15 22 19 21.01 -11 40 24.89 53 3 25.45 0 35 32.62
42 0 1 16 6 39 21.01 109 17 5.24 -21 12 23.12 0 35 40.10
43 0 1 16 14 59 21.01 -107 52 39.75 -19 42 6.99 0 35 46.93
44 0 1 21 3 19 21.01 80 38 55.69 13 45 55.49 0 35 50.65
45 0 1 21 11 39 21.01 -151 33 29.10 -47 26 59.21 0 35 44.20
46 0 1 21 19 59 21.01 -50 45 0.03 40 49 54.77 0 35 37.17
47 0 1 22 4 19 21.01 90 36 6.90 1 10 21.16 0 35 29.18
48 0 1 22 12 39 21.01 -132 19 4.32 -39 35 50.51 0 35 20.47
49 0 1 22 20 59 21.01 -31 30 15.90 49 11 53.89 0 35 11.32
50 0 1 23 5 19 21.01 100 29 59.06 -11 15 40.61 0 35 1.33
51 0 1 23 13 39 21.01 -117 45 15.46 -29 15 57.07 0 34 50.89
52 0 1 23 21 59 21.01 -7 5 27.49 53 28 53.95 0 34 40.13
53 0 1 24 6 19 21.01 111 18 13.47 -23 6 41.23 0 34 28.72
54 0 1 24 14 39 21.01 -106 16 12.69 -17 40 30.19 0 34 17.10
55 0 1 24 22 59 21.01 18 50 51.83 52 23 51.25 0 34 5.29
56 0 1 25 7 19 21.01 124 6 42.60 -33 50 10.70 0 33 53.04
57 0 1 25 15 39 21.01 -96 28 51.19 -5 31 45.47 0 33 40.80
58 0 1 25 23 59 21.01 40 53 6.45 46 31 51.24 0 33 28.49
59 0 1 26 8 19 21.01 140 11 11.32 -42 37 3.45 0 33 15.93
60 0 1 26 16 39 21.01 -87 22 12.10 6 44 47.33 0 33 3.57
61 0 1 27 0 59 21.01 57 37 53.79 37 39 46.28 0 32 51.24
62 0 1 27 9 19 21.01 160 19 0.32 -48 15 27.85 0 32 38.86
63 0 1 27 17 39 21.01 -78 5 27.97 18 50 26.32 0 32 26.82
64 0 1 28 1 59 21.01 70 32 8.92 27 15 23.31 0 32 14.89
