# index year month day hour minute seconad azi_deg azi_min azi_sec pol_deg pol_min pol_sec size_deg size_min size_sec phase
0 0 1 1 14 9 13.76 -81 28 26.70 19 45 37.81 0 29 38.63 0.989
1 0 1 1 22 29 13.76 69 46 30.08 32 2 4.93 0 29 45.26 0.984
2 0 1 2 6 49 13.76 169 22 17.53 -57 22 31.14 0 29 8.79 0.973
3 0 1 2 15 9 13.76 -74 21 9.72 20 52 37.80 0 29 44.14 0.959
4 0 1 2 23 29 13.76 68 32 12.95 25 21 25.63 0 29 48.88 0.950
5 0 1 3 7 49 13.76 177 34 8.64 -62 43 36.99 0 29 15.28 0.932
6 0 1 3 16 9 13.76 -67 15 11.54 21 34 28.77 0 29 54.01 0.910
7 0 1 4 0 29 13.76 67 18 34.94 18 54 31.35 0 29 56.90 0.897
8 0 1 4 8 49 13.76 -171 50 17.15 -67 20 22.23 0 29 26.31 0.872
9 0 1 4 17 9 13.76 -60 32 49.07 21 44 25.54 0 30 7.92 0.845
10 0 1 5 1 29 13.76 66 1 12.58 13 0 33.31 0 30 9.14 0.828
11 0 1 5 9 49 13.76 -158 56 24.91 -70 53 18.98 0 29 41.49 0.796
12 0 1 5 18 9 13.76 -54 37 29.23 21 23 18.48 0 30 25.42 0.763
13 0 1 6 2 29 13.76 64 40 42.64 7 57 42.89 0 30 25.29 0.743
14 0 1 6 10 49 13.76 -144 55 44.22 -73 12 22.72 0 30 0.20 0.706
15 0 1 6 19 9 13.76 -49 50 10.47 20 40 55.78 0 30 45.92 0.669
16 0 1 7 3 29 13.76 63 24 11.31 4 1 25.98 0 30 44.78 0.646
17 0 1 7 11 49 13.76 -132 15 5.01 -74 24 9.94 0 30 21.59 0.604
18 0 1 7 20 9 13.76 -46 25 31.37 19 55 11.26 0 31 8.69 0.564
19 0 1 8 4 29 13.76 62 25 39.43 1 21 52.19 0 31 6.80 0.540
20 0 1 8 12 49 13.76 -123 28 56.96 -74 47 38.94 0 30 44.60 0.495
