# index year month day hour minute second azi_deg azi_min azi_sec pol_deg pol_min pol_sec size_deg size_min size_sec
0 0 1 1 17 38 7.46 157.0 16 35.48 -62.0 18 0.17 0.0 36 9.27
1 0 1 2 1 58 7.46 -70.0 55 58.86 17.0 28 59.83 0.0 36 6.78
2 0 1 2 10 18 7.46 67.0 57 6.97 21.0 11 58.99 0.0 36 3.21
3 0 1 2 18 38 7.46 -167.0 10 59.31 -63.0 32 54.05 0.0 35 58.57
4 0 1 3 2 58 7.46 -59.0 51 31.25 29.0 52 37.85 0.0 35 53.29
5 0 1 3 11 18 7.46 77.0 32 56.11 8.0 11 30.09 0.0 35 46.97
6 0 1 3 19 38 7.46 -137.0 20 49.98 -57.0 5 22.55 0.0 35 39.76
7 0 1 4 3 58 7.46 -45.0 31 33.53 40.0 42 8.20 0.0 35 32.04
8 0 1 4 12 18 7.46 86.0 6 48.75 -5.0 10 15.61 0.0 35 23.37
9 0 1 4 20 38 7.46 -118.0 23 48.58 -46.0 20 42.05 0.0 35 14.06
10 0 1 5 4 58 7.46 -26.0 18 12.32 48.0 42 33.35 0.0 35 4.37
11 0 1 5 13 18 7.46 94.0 37 18.81 -18.0 31 7.64 0.0 34 53.89
12 0 1 5 21 38 7.46 -105.0 52 43.63 -33.0 53 18.82 0.0 34 43.01
13 0 1 6 5 58 7.46 -2.0 16 14.87 52.0 10 36.68 0.0 34 31.89
14 0 1 6 14 18 7.46 104.0 6 14.16 -31.0 30 43.51 0.0 34 20.17
15 0 1 6 22 38 7.46 -96.0 26 31.73 -20.0 49 27.67 0.0 34 8.30
16 0 1 7 6 58 7.46 22.0 13 57.87 50.0 4 44.59 0.0 33 56.31
17 0 1 7 15 18 7.46 116.0 2 53.71 -43.0 41 15.46 0.0 33 43.91
18 0 1 7 23 38 7.46 -88.0 20 59.14 -7.0 38 36.71 0.0 33 31.60
19 0 1 8 7 58 7.46 42.0 19 14.97 43.0 20 29.75 0.0 33 19.26
20 0 1 8 16 18 7.46 132.0 58 21.55 -54.0 10 21.06 0.0 33 6.72
21 0 1 9 0 38 7.46 -80.0 34 47.85 5.0 22 31.63 0.0 32 54.45
22 0 1 9 8 58 7.46 57.0 19 23.82 33.0 46 41.23 0.0 32 42.23
23 0 1 9 17 18 7.46 158.0 9 4.33 -61.0 9 15.17 0.0 32 30.00
24 0 1 10 1 38 7.46 -72.0 19 37.70 18.0 0 14.71 0.0 32 18.18
25 0 1 10 9 58 7.46 68.0 46 35.73 22.0 44 34.40 0.0 32 6.48
26 0 1 10 18 18 7.46 -170.0 18 51.39 -62.0 2 39.23 0.0 31 54.93
27 0 1 11 2 38 7.46 -62.0 42 12.27 29.0 57 41.02 0.0 31 43.89
