# index year month day hour minute second azi_deg azi_min azi_sec pol_deg pol_min pol_sec size_deg size_min size_sec
0 0 1 1 19 17 44.22 -152 35 58.66 -60 45 21.79 0 29 32.12
1 0 1 2 3 37 44.22 -55 7 44.99 35 19 51.02 0 29 33.74
2 0 1 2 11 57 44.22 81 52 52.12 3 44 36.88 0 29 35.77
3 0 1 2 20 17 44.22 -131 18 59.83 -52 36 13.10 0 29 38.32
4 0 1 3 4 37 44.22 -41 27 17.11 44 56 43.47 0 29 41.56
5 0 1 3 12 57 44.22 90 3 37.43 -7 51 38.66 0 29 45.18
6 0 1 3 21 17 44.22 -117 9 48.84 -42 3 21.40 0 29 49.34
7 0 1 4 5 37 44.22 -22 46 36.18 52 5 56.01 0 29 54.17
8 0 1 4 13 57 44.22 98 31 23.88 -19 31 1.40 0 29 59.33
9 0 1 4 22 17 44.22 -106 57 27.58 -30 21 31.56 0 30 5.07
10 0 1 5 6 37 44.22 0 55 26.56 55 10 7.95 0 30 11.43
11 0 1 5 14 57 44.22 108 8 11.69 -30 56 23.49 0 30 18.09
12 0 1 5 23 17 44.22 -98 44 48.34 -18 4 32.15 0 30 25.35
13 0 1 6 7 37 44.22 25 21 56.13 53 3 5.46 0 30 33.16
15 0 1 7 0 17 44.22 -91 24 29.98 -5 29 28.58 0 30 49.91
16 0 1 7 8 37 44.22 45 29 26.38 46 26 11.26 0 30 59.05
17 0 1 7 16 57 44.22 136 34 37.20 -50 55 12.89 0 31 8.43
18 0 1 8 1 17 44.22 -84 10 9.84 7 12 22.21 0 31 18.39
19 0 1 8 9 37 44.22 60 30 20.41 36 56 2.98 0 31 28.70
20 0 1 8 17 57 44.22 159 28 5.94 -57 3 55.46 0 31 39.21
21 0 1 9 2 17 44.22 -76 18 18.30 19 49 53.22 0 31 50.25
22 0 1 9 10 37 44.22 71 57 10.48 25 47 12.53 0 32 1.52
23 0 1 9 18 57 44.22 -172 42 43.87 -58 1 15.80 0 32 12.94
24 0 1 10 3 17 44.22 -66 52 27.40 32 6 52.47 0 32 24.81
25 0 1 10 11 37 44.22 81 22 11.00 13 42 45.91 0 32 36.75
26 0 1 10 19 57 44.22 -147 20 57.04 -53 10 38.56 0 32 48.78
27 0 1 11 4 17 44.22 -54 21 45.20 43 32 58.79 0 33 1.15
28 0 1 11 12 37 44.22 89 52 40.85 1 7 58.29 0 33 13.40
29 0 1 11 20 57 44.22 -128 38 9.01 -44 11 54.48 0 33 25.68
30 0 1 12 5 17 44.22 -36 17 46.40 53 4 16.39 0 33 38.12
31 0 1 12 13 37 44.22 98 22 25.65 -11 38 55.78 0 33 50.26
32 0 1 12 21 57 44.22 -115 12 11.45 -32 54 41.03 0 34 2.32
33 0 1 13 6 17 44.22 -10 23 39.06 58 35 9.20 0 34 14.35
34 0 1 13 14 37 44.22 107 47 15.97 -24 19 5.96 0 34 25.88
35 0 1 13 22 57 44.22 -104 50 8.26 -20 23 10.38 0 34 37.21
36 0 1 14 7 17 44.22 19 23 53.60 57 42 25.05 0 34 48.27
37 0 1 14 15 37 44.22 119 23 43.80 -36 24 41.42 0 34 58.64
38 0 1 14 23 57 44.22 -95 59 9.25 -7 11 46.50 0 35 8.68
39 0 1 15 8 17 44.22 43 48 15.57 50 42 2.24 0 35 18.20
40 0 1 15 16 37 44.22 135 11 30.93 -47 4 3.61 0 35 26.85
41 0 1 16 0 57 44.22 -87 35 12.95 6 17 46.19 0 35 35.04
42 0 1 16 9 17 44.22 60 44 0.83 40 0 25.56 0 35 42.46
43 0 1 16 17 37 44.22 157 39 23.24 -54 36 39.81 0 35 48.87
44 0 1 20 21 37 44.22 -113 45 18.70 -30 58 27.64 0 35 54.41
45 0 1 21 5 57 44.22 -5 43 19.70 59 4 48.24 0 35 48.79
46 0 1 21 14 17 44.22 109 37 43.28 -26 20 4.90 0 35 42.04
47 0 1 21 22 37 44.22 -103 16 4.34 -18 5 26.00 0 35 34.64
48 0 1 22 6 57 44.22 24 22 16.96 56 51 40.13 0 35 26.60
49 0 1 22 15 17 44.22 121 53 20.77 -38 29 22.10 0 35 17.60
50 0 1 22 23 37 44.22 -94 26 48.29 -4 44 46.91 0 35 8.16
51 0 1 23 7 57 44.22 47 22 14.62 48 58 36.66 0 34 58.18
52 0 1 23 16 17 44.22 138 39 44.85 -48 40 7.75 0 34 47.46
53 0 1 24 0 37 44.22 -86 11 10.41 8 39 43.87 0 34 36.53
54 0 1 24 8 57 44.22 63 6 7.47 38 7 35.91 0 34 25.17
55 0 1 24 17 17 44.22 161 52 32.52 -55 9 12.48 0 34 13.31
56 0 1 25 1 37 44.22 -77 34 22.24 21 50 11.57 0 34 1.43
57 0 1 25 9 57 44.22 74 32 58.67 25 59 52.71 0 33 49.26
59 0 1 26 2 37 44.22 -67 33 0.63 34 27 0.27 0 33 24.54
60 0 1 26 10 57 44.22 83 50 45.68 13 24 27.25 0 33 12.07
61 0 1 26 19 17 44.22 -146 25 56.36 -50 48 13.84 0 32 59.57
62 0 1 27 3 37 44.22 -54 31 4.94 45 59 13.79 0 32 47.35
63 0 1 27 11 57 44.22 92 16 50.97 0 47 13.37 0 32 35.06
64 0 1 27 20 17 44.22 -128 49 15.89 -41 47 55.78 0 32 22.93
65 0 1 28 4 37 44.22 -35 55 32.18 55 26 3.78 0 32 11.18
66 0 1 28 12 57 44.22 100 45 50.86 -11 33 58.81 0 31 59.46
67 0 1 28 21 17 44.22 -116 18 40.74 -30 47 17.40 0 31 48.06
68 0 1 29 5 37 44.22 -9 29 42.66 60 51 53.77 0 31 37.10
69 0 1 29 13 57 44.22 110 8 34.06 -23 21 19.14 0 31 26.26
70 0 1 29 22 17 44.22 -106 49 20.08 -18 48 56.78 0 31 15.87
71 0 1 30 6 37 44.22 20 35 33.03 60 13 0.84 0 31 5.95
72 0 1 30 14 57 44.22 121 25 26.62 -34 10 1.50 0 30 56.22
73 0 1 30 23 17 44.22 -98 57 37.37 -6 24 13.07 0 30 47.05
74 0 1 31 7 37 44.22 45 1 29.68 54 0 23.51 0 30 38.36
75 0 1 31 15 57 44.22 135 53 8.17 -43 19 23.41 0 30 29.93
76 0 2 1 0 17 44.22 -91 49 28.20 6 10 2.24 0 30 22.14
77 0 2 1 8 37 44.22 61 55 24.38 44 37 18.40 0 30 14.80
78 0 2 1 16 57 44.22 154 40 4.24 -49 43 19.45 0 30 7.81
79 0 2 2 1 17 44.22 -84 43 2.97 18 42 47.54 0 30 1.49
80 0 2 2 9 37 44.22 74 0 17.38 33 46 41.73 0 29 55.62
81 0 2 2 17 57 44.22 177 3 51.56 -52 0 20.27 0 29 50.14
82 0 2 3 2 17 44.22 -76 54 14.63 31 3 51.08 0 29 45.37
83 0 2 3 10 37 44.22 83 32 32.97 22 19 23.22 0 29 41.02
84 0 2 3 18 57 44.22 -160 46 59.31 -49 31 43.24 0 29 37.13
85 0 2 4 3 17 44.22 -67 18 26.30 42 58 46.66 0 29 33.95
86 0 2 4 11 37 44.22 91 54 13.45 10 41 13.21 0 29 31.17
87 0 2 4 19 57 44.22 -142 33 5.69 -43 4 58.62 0 29 28.89
88 0 2 5 4 17 44.22 -53 56 31.25 53 58 55.85 0 29 27.33
90 0 2 5 20 57 44.22 -128 44 21.54 -34 3 17.43 0 29 25.51
91 0 2 6 5 17 44.22 -33 0 32.85 62 55 38.48 0 29 25.56
92 0 2 6 13 37 44.22 108 27 27.21 -12 3 53.42 0 29 25.97
