# index year month day hour minute seconad azi_deg azi_min azi_sec pol_deg pol_min pol_sec size_deg size_min size_sec phase
0 0 1 1 20 23 32.88 115 29 46.39 29 4 41.21 0 29 43.66 0.987
1 0 1 2 4 43 32.88 11 20 33.65 -56 2 2.16 0 29 8.69 0.977
2 0 1 2 13 3 32.88 -103 54 45.32 21 17 53.16 0 29 43.73 0.963
3 0 1 2 21 23 32.88 107 46 50.09 28 38 54.39 0 29 49.62 0.955
4 0 1 3 5 43 32.88 2 44 16.77 -51 35 33.59 0 29 17.31 0.937
5 0 1 3 14 3 32.88 -102 29 3.79 27 50 45.77 0 29 55.89 0.917
6 0 1 3 22 23 32.88 100 21 2.32 27 57 11.95 0 29 59.98 0.904
7 0 1 4 6 43 32.88 -3 47 0.16 -46 45 4.30 0 29 30.47 0.880
8 0 1 4 15 3 32.88 -100 43 57.12 33 56 42.36 0 30 12.09 0.853
9 0 1 4 23 23 32.88 93 32 28.95 27 11 25.19 0 30 14.50 0.836
10 0 1 5 7 43 32.88 -8 27 10.76 -41 56 31.56 0 29 47.72 0.806
11 0 1 5 16 3 32.88 -98 36 50.69 39 16 12.78 0 30 31.80 0.773
12 0 1 6 0 23 32.88 87 39 0.21 26 32 12.95 0 30 32.77 0.753
13 0 1 6 8 43 32.88 -11 34 55.88 -37 35 25.74 0 30 8.37 0.716
14 0 1 6 17 3 32.88 -96 15 37.05 43 32 16.38 0 30 54.32 0.679
15 0 1 7 1 23 32.88 82 56 57.76 26 5 22.54 0 30 54.12 0.656
16 0 1 7 9 43 32.88 -13 30 28.00 -34 5 32.21 0 30 31.45 0.615
17 0 1 7 18 3 32.88 -94 4 1.83 46 33 53.40 0 31 18.76 0.575
18 0 1 8 2 23 32.88 79 41 1.28 25 49 8.61 0 31 17.60 0.550
19 0 1 8 10 43 32.88 -14 35 46.70 -31 47 13.79 0 30 55.74 0.505
20 0 1 8 19 3 32.88 -92 40 25.85 48 19 33.07 0 31 44.02 0.463
21 0 1 9 3 23 32.88 78 2 5.33 25 33 8.31 0 31 41.93 0.438
22 0 1 9 11 43 32.88 -15 15 29.01 -30 55 11.80 0 31 19.81 0.392
23 0 1 9 20 3 32.88 -92 45 56.27 48 57 38.62 0 32 8.76 0.351
24 0 1 10 4 23 32.88 78 3 39.32 24 59 36.24 0 32 5.50 0.326
25 0 1 10 12 43 32.88 -15 56 35.37 -31 35 52.79 0 31 42.05 0.281
26 0 1 14 16 43 32.88 -27 27 42.46 -46 11 1.15 0 32 23.98 0.001
27 0 1 15 1 3 32.88 -119 22 54.89 41 46 58.19 0 33 11.40 0.000
28 0 1 15 9 23 32.88 93 57 7.34 9 23 48.21 0 32 52.40 0.000
29 0 1 15 17 43 32.88 -33 59 25.48 -50 48 32.61 0 32 18.61 0.000
30 0 1 16 2 3 32.88 -126 47 43.32 38 49 38.64 0 33 3.86 0.002
31 0 1 16 10 23 32.88 97 47 36.70 4 17 23.30 0 32 41.08 0.004
32 0 1 16 18 43 32.88 -41 58 57.17 -54 54 1.31 0 32 7.09 0.011
33 0 1 17 3 3 32.88 -133 27 53.34 35 35 25.43 0 32 49.59 0.022
34 0 1 17 11 23 32.88 101 22 25.07 -0 36 42.68 0 32 23.83 0.031
35 0 1 17 19 43 32.88 -50 53 18.79 -58 7 51.06 0 31 50.45 0.053
36 0 1 18 4 3 32.88 -139 1 39.23 32 21 1.89 0 32 29.93 0.078
37 0 1 18 12 23 32.88 104 33 40.78 -4 55 21.10 0 32 2.24 0.098
38 0 1 18 20 43 32.88 -59 45 22.90 -60 21 17.20 0 31 30.02 0.140
39 0 1 19 5 3 32.88 -143 20 45.60 29 27 25.88 0 32 6.62 0.182
40 0 1 19 13 23 32.88 107 9 45.85 -8 23 39.02 0 31 38.02 0.215
41 0 1 19 21 43 32.88 -67 27 6.08 -61 35 43.29 0 31 7.30 0.262
42 0 1 20 6 3 32.88 -146 28 45.44 27 16 14.56 0 31 41.55 0.297
43 0 1 20 14 23 32.88 108 55 31.85 -10 57 19.29 0 31 12.84 0.321
44 0 1 20 22 43 32.88 -73 2 54.22 -61 56 43.88 0 30 43.80 0.366
45 0 1 21 7 3 32.88 -148 38 15.91 26 6 10.42 0 31 16.49 0.403
46 0 1 21 15 23 32.88 109 35 33.23 -12 42 26.23 0 30 48.13 0.428
47 0 1 21 23 43 32.88 -76 8 18.55 -61 26 40.40 0 30 20.94 0.474
48 0 1 22 8 3 32.88 -150 7 59.91 26 10 10.71 0 30 52.98 0.510
49 0 1 22 16 23 32.88 108 58 18.55 -13 52 33.28 0 30 25.08 0.535
50 0 1 23 0 43 32.88 -76 55 12.84 -60 1 30.48 0 29 59.97 0.581
51 0 1 23 9 3 32.88 -151 19 43.83 27 33 46.67 0 30 32.20 0.614
52 0 1 23 17 23 32.88 106 58 58.17 -14 44 11.51 0 30 4.60 0.638
53 0 1 24 1 43 32.88 -76 3 59.30 -57 33 51.09 0 29 41.90 0.681
54 0 1 24 10 3 32.88 -152 35 28.72 30 14 47.03 0 30 15.02 0.711
55 0 1 24 18 23 32.88 103 39 45.08 -15 32 13.04 0 29 47.39 0.733
56 0 1 25 2 43 32.88 -74 24 55.77 -53 59 7.81 0 29 27.55 0.772
57 0 1 25 11 3 32.88 -154 15 31.84 34 4 17.51 0 30 1.98 0.797
58 0 1 25 19 23 32.88 99 8 24.01 -16 26 25.02 0 29 33.98 0.817
59 0 1 26 3 43 32.88 -72 38 20.52 -49 19 48.90 0 29 17.50 0.850
60 0 1 26 12 3 32.88 -156 37 48.36 38 48 24.06 0 29 53.44 0.870
61 0 1 26 20 23 32.88 93 36 6.71 -17 29 48.31 0 29 24.75 0.887
62 0 1 27 4 43 32.88 -71 5 13.73 -43 45 33.65 0 29 12.14 0.913
63 0 1 27 13 3 32.88 -159 58 32.79 44 9 58.96 0 29 49.52 0.929
64 0 1 27 21 23 32.88 87 16 1.43 -18 38 40.87 0 29 19.98 0.942
65 0 1 28 5 43 32.88 -69 50 1.52 -37 30 55.52 0 29 11.70 0.960
66 0 1 28 14 3 32.88 -164 33 47.53 49 50 1.41 0 29 50.25 0.971
67 0 1 28 22 23 32.88 80 22 50.25 -19 44 10.78 0 29 19.85 0.979
68 0 1 29 6 43 32.88 -68 47 55.96 -30 53 4.13 0 29 16.18 0.989
69 0 1 29 15 3 32.88 -170 40 39.62 55 28 26.13 0 29 55.54 0.995
70 0 1 29 23 23 32.88 73 13 25.53 -20 34 59.47 0 29 24.42 0.998
