# index year month day hour minute second azi_deg azi_min azi_sec pol_deg pol_min pol_sec size_deg size_min size_sec
0 0 1 1 16 21 43.99 -0 36 31.61 -49 54 11.26 0 36 9.59
1 0 1 2 0 41 43.99 -106 27 47.64 32 42 56.13 0 36 7.27
2 0 1 2 9 1 43.99 95 37 44.33 18 59 10.95 0 36 3.82
3 0 1 2 17 21 43.99 -24 26 26.86 -46 56 41.62 0 35 59.34
4 0 1 3 1 41 43.99 -119 43 10.94 44 59 32.27 0 35 54.20
5 0 1 3 10 1 43.99 86 31 37.38 5 42 14.77 0 35 47.98
6 0 1 3 18 21 43.99 -43 49 54.49 -39 26 56.02 0 35 40.92
7 0 1 4 2 41 43.99 -138 49 43.13 55 17 3.33 0 35 33.31
8 0 1 4 11 1 43.99 77 32 59.00 -7 23 30.94 0 35 24.73
9 0 1 4 19 21 43.99 -58 29 25.21 -29 12 3.15 0 35 15.54
10 0 1 5 3 41 43.99 -166 53 36.38 61 18 43.56 0 35 5.92
11 0 1 5 12 1 43.99 67 46 26.84 -19 56 44.71 0 34 55.50
12 0 1 5 20 21 43.99 -69 54 49.07 -17 31 10.93 0 34 44.72
13 0 1 6 4 41 43.99 160 42 48.41 60 27 11.90 0 34 33.64
14 0 1 6 13 1 43.99 56 9 21.00 -31 30 2.45 0 34 21.96
15 0 1 6 21 21 43.99 -79 31 18.21 -5 10 49.11 0 34 10.16
16 0 1 7 5 41 43.99 135 17 33.95 53 21 26.94 0 33 58.17
17 0 1 7 14 1 43.99 41 22 59.45 -41 20 42.00 0 33 45.80
18 0 1 7 22 21 43.99 -88 22 49.85 7 21 8.92 0 33 33.52
19 0 1 8 6 41 43.99 118 24 16.82 42 56 10.08 0 33 21.16
20 0 1 8 15 1 43.99 22 13 55.09 -48 20 43.79 0 33 8.62
21 0 1 8 23 21 43.99 -97 23 15.36 19 44 35.83 0 32 56.35
22 0 1 9 7 41 43.99 106 35 48.94 31 5 45.07 0 32 44.10
23 0 1 9 16 1 43.99 -0 45 4.30 -51 5 46.86 0 32 31.85
24 0 1 10 0 21 43.99 -107 31 18.92 31 39 20.10 0 32 20.00
25 0 1 10 8 41 43.99 97 22 15.35 18 42 12.42 0 32 8.25
26 0 1 10 17 1 43.99 -23 45 26.28 -48 54 40.90 0 31 56.67
27 0 1 11 1 21 43.99 -120 8 6.68 42 36 20.41 0 31 45.59
28 0 1 11 9 41 43.99 89 19 16.11 6 10 13.84 0 31 34.65
29 0 1 14 12 41 43.99 63 51 47.59 -29 56 59.41 0 30 14.50
30 0 1 14 21 1 43.99 -79 7 54.27 -12 23 36.39 0 30 7.91
31 0 1 15 5 21 43.99 148 4 50.85 53 14 40.41 0 30 1.87
32 0 1 15 13 41 43.99 51 58 4.23 -40 32 36.82 0 29 56.17
33 0 1 15 22 1 43.99 -87 57 12.15 -1 3 2.38 0 29 51.13
34 0 1 16 6 21 43.99 130 18 58.86 44 49 57.45 0 29 46.62
35 0 1 16 14 41 43.99 36 3 6.01 -49 24 44.84 0 29 42.48
36 0 1 16 23 1 43.99 -96 38 42.42 10 17 38.44 0 29 39.04
37 0 1 17 7 21 43.99 117 32 49.80 34 28 11.70 0 29 36.09
38 0 1 17 15 41 43.99 14 40 0.93 -55 14 49.48 0 29 33.56
39 0 1 18 0 1 43.99 -105 57 23.58 21 21 34.44 0 29 31.75
40 0 1 18 8 21 43.99 107 46 9.58 23 6 15.29 0 29 30.40
41 0 1 18 16 41 43.99 -10 42 12.89 -56 28 21.86 0 29 29.50
42 0 1 19 1 1 43.99 -116 46 8.55 31 47 15.37 0 29 29.32
43 0 1 19 9 21 43.99 99 36 53.85 11 13 11.91 0 29 29.57
44 0 1 19 17 41 43.99 -34 27 16.39 -52 40 51.29 0 29 30.32
46 0 1 20 10 21 43.99 92 11 32.93 -0 54 52.39 0 29 33.62
47 0 1 20 18 41 43.99 -52 55 17.90 -45 10 24.49 0 29 36.01
48 0 1 21 3 1 43.99 -147 34 51.82 48 7 9.99 0 29 39.08
49 0 1 21 11 21 43.99 84 49 8.13 -13 6 57.87 0 29 42.51
50 0 1 21 19 41 43.99 -66 42 1.86 -35 30 55.37 0 29 46.52
51 0 1 22 4 1 43.99 -169 3 57.80 51 46 47.62 0 29 51.17
52 0 1 22 12 21 43.99 76 48 4.23 -25 12 29.27 0 29 56.16
53 0 1 22 20 41 43.99 -77 31 40.92 -24 42 59.98 0 30 1.75
54 0 1 23 5 1 43.99 167 59 43.41 50 55 22.31 0 30 7.93
55 0 1 23 13 21 43.99 67 11 34.17 -36 56 30.12 0 30 14.42
56 0 1 23 21 41 43.99 -86 46 56.50 -13 20 38.45 0 30 21.52
57 0 1 24 6 1 43.99 147 45 53.38 45 43 53.88 0 30 29.15
58 0 1 24 14 21 43.99 54 24 42.63 -47 51 6.68 0 30 37.06
59 0 1 24 22 41 43.99 -95 26 17.28 -1 44 49.91 0 30 45.59
60 0 1 25 7 1 43.99 131 54 26.71 37 24 37.38 0 30 54.55
61 0 1 25 15 21 43.99 35 45 27.09 -56 56 6.25 0 31 3.77
62 0 1 25 23 41 43.99 -104 16 54.67 9 47 39.54 0 31 13.59
63 0 1 26 8 1 43.99 119 40 1.92 27 8 18.67 0 31 23.72
64 0 1 26 16 21 43.99 8 34 51.71 -62 8 33.96 0 31 34.09
65 0 1 27 0 41 43.99 -114 6 34.91 20 58 2.94 0 31 45.00
66 0 1 27 9 1 43.99 109 46 33.35 15 41 2.64 0 31 56.11
67 0 1 27 17 21 43.99 -22 38 33.95 -61 6 51.38 0 32 7.40
68 0 1 28 1 41 43.99 -125 53 31.49 31 18 52.25 0 32 19.14
69 0 1 28 10 1 43.99 101 11 18.89 3 30 5.45 0 32 30.94
70 0 1 28 18 21 43.99 -47 37 1.60 -54 15 44.84 0 32 42.87
71 0 1 29 2 41 43.99 -140 49 38.46 40 4 46.40 0 32 55.12
72 0 1 29 11 1 43.99 93 4 53.46 -9 7 5.16 0 33 7.25
73 0 1 29 19 21 43.99 -64 39 11.98 -44 3 5.10 0 33 19.45
74 0 1 30 3 41 43.99 -159 52 30.95 46 3 42.18 0 33 31.80
75 0 1 30 12 1 43.99 84 40 14.58 -21 56 16.42 0 33 43.85
76 0 1 30 20 21 43.99 -76 52 1.36 -32 12 38.19 0 33 55.86
77 0 1 31 4 41 43.99 177 49 36.07 47 49 33.32 0 34 7.82
78 0 1 31 13 1 43.99 74 56 41.69 -34 40 35.95 0 34 19.30
79 0 1 31 21 21 43.99 -86 41 21.44 -19 35 24.48 0 34 30.61
80 0 2 1 5 41 43.99 155 52 28.65 44 41 6.47 0 34 41.64
81 0 2 1 14 1 43.99 62 11 9.87 -46 50 58.88 0 34 51.99
82 0 2 1 22 21 43.99 -95 34 51.64 -6 39 12.31 0 35 2.05
83 0 2 2 6 41 43.99 137 30 58.87 37 22 40.22 0 35 11.57
84 0 2 2 15 1 43.99 43 5 52.39 -57 22 50.93 0 35 20.25
85 0 2 2 23 21 43.99 -104 33 27.88 6 14 56.90 0 35 28.50
86 0 2 3 7 41 43.99 123 10 0.47 27 16 12.82 0 35 35.95
87 0 2 3 16 1 43.99 13 16 49.29 -63 46 26.44 0 35 42.44
88 0 2 4 0 21 43.99 -114 33 34.04 18 43 46.31 0 35 48.37
89 0 2 4 8 41 43.99 111 44 0.68 15 28 44.03 0 35 53.28
90 0 2 4 17 1 43.99 -22 23 9.21 -62 40 10.29 0 35 57.17
91 0 2 5 1 21 43.99 -126 42 2.65 30 13 30.30 0 36 0.37
92 0 2 5 9 41 43.99 102 0 55.10 2 43 53.89 0 36 2.42
93 0 2 5 18 1 43.99 -49 21 27.01 -54 41 38.01 0 36 3.43
94 0 2 6 2 21 43.99 -142 20 55.87 39 49 6.47 0 36 3.69
95 0 2 6 10 41 43.99 93 0 46.13 -10 29 22.60 0 36 2.72
96 0 2 6 19 1 43.99 -66 35 11.46 -43 17 41.15 0 36 0.79
97 0 2 7 3 21 43.99 -162 29 37.64 46 5 21.89 0 35 58.08
98 0 2 7 11 41 43.99 83 47 34.53 -23 48 26.80 0 35 54.15
99 0 2 7 20 1 43.99 -78 37 42.03 -30 32 56.45 0 35 49.39
100 0 2 8 4 21 43.99 174 15 53.58 47 29 27.12 0 35 43.89
101 0 2 8 12 41 43.99 73 11 35.39 -36 49 31.98 0 35 37.26
102 0 2 8 21 1 43.99 -88 19 15.99 -17 22 34.70 0 35 30.00
103 0 2 9 5 21 43.99 152 16 19.80 43 37 24.07 0 35 22.06
104 0 2 9 13 41 43.99 59 17 50.60 -48 56 45.70 0 35 13.17
105 0 2 9 22 1 43.99 -97 11 30.30 -4 15 42.23 0 35 3.85
106 0 2 10 6 21 43.99 134 36 55.40 35 42 4.87 0 34 53.94
107 0 2 10 14 41 43.99 38 38 24.40 -58 57 14.41 0 34 43.31
108 0 2 10 23 1 43.99 -106 14 32.48 8 26 8.19 0 34 32.47
109 0 2 11 7 21 43.99 121 10 13.81 25 19 31.95 0 34 21.15
110 0 2 11 15 41 43.99 7 41 39.40 -64 18 49.08 0 34 9.36
111 0 2 12 0 1 43.99 -116 21 25.40 20 20 8.61 0 33 57.54
112 0 2 12 8 21 43.99 110 37 10.46 13 37 45.65 0 33 45.39
113 0 2 12 16 41 43.99 -26 31 21.65 -62 23 50.20 0 33 33.00
114 0 2 13 1 1 43.99 -128 30 12.97 30 55 10.61 0 33 20.74
115 0 2 13 9 21 43.99 101 45 52.14 1 16 45.42 0 33 8.27
116 0 2 13 17 41 43.99 -51 32 39.61 -54 36 17.95 0 32 55.79
117 0 2 14 2 1 43.99 -143 41 57.52 39 24 15.06 0 32 43.57
118 0 2 14 10 21 43.99 93 41 48.04 -11 19 50.55 0 32 31.26
119 0 2 14 18 41 43.99 -67 48 20.18 -44 3 47.89 0 32 19.13
120 0 2 15 3 1 43.99 -162 23 22.44 44 42 15.64 0 32 7.35
121 0 2 15 11 21 43.99 85 38 14.28 -23 56 5.08 0 31 55.58
122 0 2 15 19 41 43.99 -79 23 32.91 -32 29 38.35 0 31 44.16
123 0 2 16 4 1 43.99 176 50 17.58 45 47 54.98 0 31 33.15
124 0 2 16 12 21 43.99 76 41 48.94 -36 17 35.37 0 31 22.25
125 0 2 16 20 41 43.99 -88 46 21.88 -20 38 44.48 0 31 11.83
126 0 2 17 5 1 43.99 157 10 9.61 42 31 48.65 0 31 1.83
127 0 2 17 13 21 43.99 65 28 58.17 -48 4 34.88 0 30 52.04
128 0 2 17 21 41 43.99 -97 16 43.30 -8 53 55.02 0 30 42.82
129 0 2 18 6 1 43.99 140 52 59.97 35 47 50.78 0 30 34.04
130 0 2 18 14 21 43.99 49 18 33.74 -58 37 13.67 0 30 25.54
131 0 2 18 22 41 43.99 -105 45 12.83 2 28 52.78 0 30 17.68
132 0 2 19 7 1 43.99 128 6 55.81 26 47 31.36 0 30 10.25
133 0 2 19 15 21 43.99 23 23 37.98 -66 18 29.84 0 30 3.17
134 0 2 19 23 41 43.99 -114 52 31.86 13 13 38.36 0 29 56.77
135 0 2 20 8 1 43.99 117 59 50.51 16 25 16.69 0 29 50.79
136 0 2 20 16 21 43.99 -12 50 16.74 -68 5 15.45 0 29 45.23
137 0 2 21 0 41 43.99 -125 18 36.11 22 59 37.64 0 29 40.36
138 0 2 21 9 1 43.99 109 36 44.31 5 15 3.38 0 29 35.90
