# index year month day hour minute second azi_deg azi_min azi_sec pol_deg pol_min pol_sec size_deg size_min size_sec
0 0 1 1 16 31 19.79 -2 20 4.85 -50 25 29.36 0 29 31.74
1 0 1 2 0 51 19.79 -107 33 26.74 32 34 28.97 0 29 33.17
2 0 1 2 9 11 19.79 96 41 48.22 18 32 9.39 0 29 35.04
3 0 1 2 17 31 19.79 -23 58 32.31 -48 30 6.10 0 29 37.40
4 0 1 3 1 51 19.79 -119 57 18.41 42 49 49.72 0 29 40.46
5 0 1 3 10 11 19.79 89 14 16.49 6 21 37.65 0 29 43.91
6 0 1 3 18 31 19.79 -42 34 8.54 -42 41 34.75 0 29 47.88
7 0 1 4 2 51 19.79 -136 36 25.94 51 32 6.13 0 29 52.54
8 0 1 4 11 11 19.79 81 51 21.97 -5 49 57.53 0 29 57.55
9 0 1 4 19 31 19.79 -57 16 21.99 -34 12 11.39 0 30 3.10
10 0 1 5 3 51 19.79 -159 18 8.02 57 12 40.96 0 30 9.29
11 0 1 5 12 11 19.79 73 52 50.73 -17 51 40.99 0 30 15.80
12 0 1 5 20 31 19.79 -68 57 50.73 -24 4 25.54 0 30 22.88
13 0 1 6 4 51 19.79 173 40 57.44 58 0 45.95 0 30 30.54
14 0 1 6 13 11 19.79 64 29 26.38 -29 28 7.54 0 30 38.47
15 0 1 6 21 31 19.79 -78 47 3.85 -12 58 52.66 0 30 46.98
16 0 1 7 5 51 19.79 149 1 21.60 53 28 25.72 0 30 55.99
17 0 1 7 14 11 19.79 52 28 28.46 -40 12 15.59 0 31 5.23
18 0 1 7 22 31 19.79 -87 41 7.39 -1 21 4.64 0 31 15.04
19 0 1 8 6 51 19.79 130 30 10.62 45 5 7.08 0 31 25.25
20 0 1 8 15 11 19.79 36 3 8.05 -49 12 13.48 0 31 35.64
21 0 1 8 23 31 19.79 -96 28 22.49 10 30 29.21 0 31 46.56
22 0 1 9 7 51 19.79 117 0 5.83 34 29 50.01 0 31 57.75
23 0 1 9 16 11 19.79 13 38 8.20 -54 54 43.45 0 32 9.08
24 0 1 10 0 31 19.79 -105 58 27.07 22 17 56.06 0 32 20.86
25 0 1 10 8 51 19.79 106 30 39.21 22 42 5.54 0 32 32.76
26 0 1 10 17 11 19.79 -12 47 0.44 -55 27 53.33 0 32 44.73
27 0 1 11 1 31 19.79 -117 15 26.12 33 37 3.28 0 32 57.05
28 0 1 11 9 51 19.79 97 34 33.05 10 13 54.33 0 33 9.32
29 0 1 11 18 11 19.79 -36 45 30.30 -50 29 35.99 0 33 21.57
30 0 1 12 2 31 19.79 -131 53 6.55 43 46 16.80 0 33 34.02
31 0 1 12 10 51 19.79 89 11 20.84 -2 35 9.00 0 33 46.22
32 0 1 12 19 11 19.79 -54 52 41.54 -41 34 4.62 0 33 58.31
33 0 1 13 3 31 19.79 -151 49 26.66 51 28 46.60 0 34 10.41
34 0 1 17 7 31 19.79 119 22 37.46 34 4 48.30 0 35 58.06
35 0 1 17 15 51 19.79 15 17 54.44 -56 17 27.48 0 36 2.13
36 0 1 18 0 11 19.79 -106 59 26.92 21 16 18.23 0 36 5.53
37 0 1 18 8 31 19.79 107 27 30.34 21 51 23.21 0 36 7.84
38 0 1 18 16 51 19.79 -14 0 47.50 -56 24 13.79 0 36 9.03
39 0 1 19 1 11 19.79 -118 44 20.23 33 36 49.99 0 36 9.49
40 0 1 19 9 31 19.79 97 32 29.00 8 50 29.32 0 36 8.76
41 0 1 19 17 51 19.79 -39 14 18.47 -50 17 39.52 0 36 6.98
42 0 1 20 2 11 19.79 -134 14 42.77 44 24 44.77 0 36 4.46
43 0 1 20 10 31 19.79 88 24 42.53 -4 27 35.82 0 36 0.75
44 0 1 20 18 51 19.79 -57 17 4.08 -40 16 30.60 0 35 56.12
45 0 1 21 3 11 19.79 -155 34 24.09 52 8 58.60 0 35 50.80
46 0 1 21 11 31 19.79 79 5 4.06 -17 39 48.16 0 35 44.35
47 0 1 21 19 51 19.79 -70 19 13.01 -28 21 38.56 0 35 37.18
48 0 1 22 4 11 19.79 177 46 13.05 54 43 9.26 0 35 29.39
49 0 1 22 12 31 19.79 68 29 31.71 -30 21 56.95 0 35 20.63
50 0 1 22 20 51 19.79 -80 39 24.74 -15 38 43.54 0 35 11.37
51 0 1 23 5 11 19.79 151 57 36.85 51 9 57.56 0 35 1.59
52 0 1 23 13 31 19.79 55 8 43.18 -41 59 6.92 0 34 51.04
53 0 1 23 21 51 19.79 -89 47 55.32 -2 43 2.64 0 34 40.22
54 0 1 24 6 11 19.79 132 8 55.16 42 59 32.35 0 34 29.01
55 0 1 24 14 31 19.79 36 52 58.29 -51 29 19.21 0 34 17.24
56 0 1 24 22 51 19.79 -98 47 23.86 10 2 14.11 0 34 5.43
57 0 1 25 7 11 19.79 117 53 21.21 32 16 46.35 0 33 53.34
58 0 1 25 15 31 19.79 11 59 34.90 -57 5 24.14 0 33 40.93
59 0 1 25 23 51 19.79 -108 33 37.96 22 16 1.18 0 33 28.65
60 0 1 26 8 11 19.79 107 6 4.49 20 20 42.16 0 33 16.22
61 0 1 26 16 31 19.79 -16 16 14.43 -56 56 25.00 0 33 3.69
62 0 1 27 0 51 19.79 -120 11 6.65 33 31 18.54 0 32 51.44
63 0 1 27 9 11 19.79 98 11 49.00 7 52 38.94 0 32 39.13
64 0 1 27 17 31 19.79 -40 21 19.21 -51 18 55.85 0 32 26.92
65 0 1 28 1 51 19.79 -135 1 46.94 43 5 16.38 0 32 15.10
66 0 1 28 10 11 19.79 90 7 21.18 -4 44 45.36 0 32 3.31
67 0 1 28 18 31 19.79 -57 50 40.88 -42 18 31.14 0 31 51.80
68 0 1 29 2 51 19.79 -154 21 41.59 49 48 28.47 0 31 40.74
69 0 1 29 11 11 19.79 82 4 13.46 -17 16 30.65 0 31 29.80
70 0 1 29 19 31 19.79 -70 40 8.67 -31 39 0.55 0 31 19.27
71 0 1 30 3 51 19.79 -177 30 45.84 52 14 27.89 0 31 9.23
72 0 1 30 12 11 19.79 73 12 58.80 -29 28 41.16 0 30 59.38
73 0 1 30 20 31 19.79 -80 52 59.70 -20 16 43.92 0 30 50.05
74 0 1 31 4 51 19.79 159 37 22.56 49 43 4.47 0 30 41.22
75 0 1 31 13 11 19.79 62 25 42.41 -41 2 4.76 0 30 32.65
76 0 1 31 21 31 19.79 -89 50 34.34 -8 41 36.84 0 30 24.68
77 0 2 1 5 51 19.79 140 55 34.63 43 7 45.81 0 30 17.20
78 0 2 1 14 11 19.79 47 51 29.46 -51 21 21.90 0 30 10.04
79 0 2 1 22 31 19.79 -98 27 46.36 2 47 18.51 0 30 3.54
80 0 2 2 6 51 19.79 126 48 57.46 33 58 15.97 0 29 57.52
81 0 2 2 15 11 19.79 26 45 5.99 -59 13 47.53 0 29 51.87
82 0 2 2 23 31 19.79 -107 29 9.98 13 53 34.48 0 29 46.91
83 0 2 3 7 51 19.79 116 0 47.77 23 21 38.76 0 29 42.41
84 0 2 3 16 11 19.79 -1 51 16.63 -62 34 0.33 0 29 38.33
85 0 2 4 0 31 19.79 -117 39 46.56 24 17 39.26 0 29 34.96
86 0 2 4 8 51 19.79 107 15 16.98 11 56 52.05 0 29 32.02
87 0 2 4 17 11 19.79 -30 55 57.70 -59 55 59.15 0 29 29.56
88 0 2 5 1 31 19.79 -129 50 55.84 33 31 16.91 0 29 27.81
89 0 2 5 9 51 19.79 99 37 23.49 0 5 48.71 0 29 26.45
90 0 2 5 18 11 19.79 -52 49 5.31 -52 40 26.96 0 29 25.63
91 0 2 6 2 31 19.79 -144 54 37.78 40 51 23.12 0 29 25.50
92 0 2 6 10 51 19.79 92 25 53.18 -11 58 10.57 0 29 25.75
93 0 2 6 19 11 19.79 -67 59 43.88 -42 58 56.46 0 29 26.56
94 0 2 7 3 31 19.79 -163 8 2.11 45 19 13.90 0 29 28.05
95 0 2 7 11 51 19.79 85 2 53.39 -24 5 7.47 0 29 29.90
96 0 2 7 20 11 19.79 -79 15 6.77 -32 10 17.08 0 29 32.36
97 0 2 8 4 31 19.79 176 49 25.65 45 59 57.52 0 29 35.44
98 0 2 8 12 51 19.79 76 41 19.18 -36 4 25.67 0 29 38.87
99 0 2 8 21 11 19.79 -88 31 6.39 -20 53 6.42 0 29 42.94
100 0 2 9 5 31 19.79 157 45 13.43 42 41 53.23 0 29 47.59
101 0 2 9 13 51 19.79 66 3 2.60 -47 39 7.44 0 29 52.58
102 0 2 9 22 11 19.79 -96 57 42.64 -9 28 37.80 0 29 58.21
103 0 2 10 6 31 19.79 141 41 14.19 36 6 38.06 0 30 4.37
104 0 2 10 14 51 19.79 50 31 34.95 -58 12 4.24 0 30 10.86
105 0 2 10 23 11 19.79 -105 23 4.24 1 47 39.50 0 30 18.00
106 0 2 11 7 31 19.79 128 49 49.58 27 13 43.68 0 30 25.58
107 0 2 11 15 51 19.79 25 10 36.38 -66 7 47.66 0 30 33.49
108 0 2 12 0 11 19.79 -114 28 43.94 12 39 41.99 0 30 42.04
109 0 2 12 8 31 19.79 118 26 38.30 16 51 1.70 0 30 50.93
110 0 2 12 16 51 19.79 -11 30 15.68 -68 10 34.03 0 31 0.15
111 0 2 13 1 11 19.79 -124 58 40.40 22 45 45.42 0 31 9.95
112 0 2 13 9 31 19.79 109 40 25.43 5 29 49.09 0 31 20.01
113 0 2 13 17 51 19.79 -44 0 2.07 -62 51 21.14 0 31 30.36
114 0 2 14 2 11 19.79 -137 42 19.72 31 32 36.91 0 31 41.22
115 0 2 14 10 31 19.79 101 47 15.75 -6 30 13.90 0 31 52.22
116 0 2 14 18 51 19.79 -64 24 13.45 -53 10 29.44 0 32 3.49
117 0 2 15 3 11 19.79 -153 22 48.57 38 10 6.18 0 32 15.15
118 0 2 15 11 31 19.79 94 7 42.11 -18 55 39.99 0 32 26.82
119 0 2 15 19 51 19.79 -77 39 1.23 -41 39 57.24 0 32 38.70
120 0 2 16 4 11 19.79 -171 54 24.14 41 34 23.78 0 32 50.84
121 0 2 16 12 31 19.79 85 56 55.89 -31 34 47.45 0 33 2.83
122 0 2 16 20 51 19.79 -87 37 46.56 -29 23 16.28 0 33 14.94
123 0 2 17 5 11 19.79 168 26 58.04 40 54 53.82 0 33 27.13
124 0 2 17 13 31 19.79 76 4 48.02 -44 12 22.80 0 33 39.02
125 0 2 17 21 51 19.79 -96 17 9.75 -16 48 57.61 0 33 50.92
126 0 2 18 6 11 19.79 150 17 58.35 36 11 36.96 0 34 2.68
127 0 2 18 14 31 19.79 62 4 58.60 -56 17 54.27 0 34 13.97
128 0 2 18 22 51 19.79 -104 43 38.74 -4 15 35.20 0 34 25.14
129 0 2 19 7 11 19.79 135 6 39.48 28 12 58.64 0 34 35.92
130 0 2 19 15 31 19.79 38 5 47.28 -66 26 16.96 0 34 46.08
131 0 2 19 23 51 19.79 -113 47 37.26 7 58 2.91 0 34 55.96
132 0 2 20 8 11 19.79 122 46 43.14 17 58 37.17 0 35 5.20
133 0 2 20 16 31 19.79 -3 6 4.98 -70 37 17.00 0 35 13.67
